Library,ILDSDeliveryStop,CatalogLink,LibID
Midlothian Public Library,XBR,https://catalog.swanlibraries.net/mds,MDS
Nancy L. McConathy Public Library District,XBR,https://catalog.swanlibraries.net/svs,SVS
North Riverside Public Library District,XBR,https://catalog.swanlibraries.net/nrs,NRS
Northlake Public Library District,XBR,https://catalog.swanlibraries.net/nls,NLS
Oak Lawn Public Library,XBR,https://catalog.swanlibraries.net/ols,OLS
Oak Park Public Library -- Main Library,XBR,https://catalog.swanlibraries.net/ops,OPS
Oak Park Public Library -- Dole Branch Library,XBR,https://catalog.swanlibraries.net/oes,OES
Oak Park Public Library -- Maze Branch Library,XBR,https://catalog.swanlibraries.net/ozs,OZS
Palos Heights Public Library,XBR,https://catalog.swanlibraries.net/phs,PHS
Palos Park Public Library,XBR,https://catalog.swanlibraries.net/pps,PPS
Park Forest Public Library,XBR,https://catalog.swanlibraries.net/pfs,PFS
Prairie State College -- Library,XBR,https://catalog.swanlibraries.net/pcs,PCS
Prairie Trails Public Library District,XBR,https://catalog.swanlibraries.net/pts,PTS
Richton Park Public Library District,XBR,https://catalog.swanlibraries.net/rps,RPS
River Forest Public Library,XBR,https://catalog.swanlibraries.net/rfs,RFS
River Grove Public Library District,XBR,https://catalog.swanlibraries.net/rgs,RGS
Riverdale Public Library District,XBR,https://catalog.swanlibraries.net/rds,RDS
Riverside Public Library,XBR,https://catalog.swanlibraries.net/rss,RSS
Schiller Park Public Library,XBR,https://catalog.swanlibraries.net/sps,SPS
South Holland Public Library,XBR,https://catalog.swanlibraries.net/shs,SHS
South Suburban College -- Learning Resources Center,SSC,https://catalog.swanlibraries.net/tts,TTS
Steger-South Chicago Heights Public Library District,XBR,https://catalog.swanlibraries.net/sts,STS
Stickney-Forest View Public Library District,XBR,https://catalog.swanlibraries.net/sfs,SFS
Summit Public Library District,XBR,https://catalog.swanlibraries.net/sas,SAS
The Morton Arboretum -- Sterling Morton Library,XBR,https://catalog.swanlibraries.net/mas,MAS
Thomas Ford Memorial Library,XBR,https://catalog.swanlibraries.net/tfs,TFS
Thornton Public Library,XBR,https://catalog.swanlibraries.net/ths,THS
Tinley Park Public Library,XBR,https://catalog.swanlibraries.net/tps,TPS
Tinley Park Public Library -- Bookmobile,XBR,,TBS
University Park Public Library District,XBR,https://catalog.swanlibraries.net/pss,PSS
Westchester Public Library,XBR,https://catalog.swanlibraries.net/wcs,WCS
Westmont Public Library,XBR,https://catalog.swanlibraries.net/wms,WMS
William Leonard Public Library District,XBR,https://catalog.swanlibraries.net/ros,ROS
Woodridge Public Library,XBR,https://catalog.swanlibraries.net/wrs,WRS
Worth Public Library District,XBR,https://catalog.swanlibraries.net/wos,WOS
