"Library","address","phone","Address","City","Zip","LAT","LON"
"Frankfort Public Library District","21119 S Pfeiffer Rd., Frankfort, IL 60423","(815) 469-2423","21119 S Pfeiffer Rd","Frankfort","60423",41.5053623919738,-87.829028238188
"Glenwood-Lynwood Public Library District","19901 Stony Island Ave., Lynwood, IL 60411","(708) 758-0090","19901 Stony Island Ave","Lynwood","60411",41.53391285,-87.57793
"Grande Prairie Public Library District","3479 W 183rd St., Hazel Crest, IL 60429","(708) 798-5563","3479 W 183rd St","Hazel Crest","60429",41.55716,-87.70129177
"Harvey Public Library District","15441 Turlington Ave., Harvey, IL 60426","(708) 331-0757","15441 Turlington Ave","Harvey","60426",41.60893932,-87.6478
"Hillside Public Library","405 Hillside Ave., Hillside, IL 60162","(708) 449-7510","405 Hillside Ave","Hillside","60162",41.87702,-87.908155
"Hinsdale Public Library","20 E Maple St., Hinsdale, IL 60521","(630) 986-1976","20 E Maple St","Hinsdale","60521",41.80474971,-87.9289319
"Hodgkins Public Library","6500 Wenz Ave., Hodgkins, IL 60525","(708) 579-1844","6500 Wenz Ave","Hodgkins","60525",41.77142642,-87.85565364
"Homewood Public Library District","17917 Dixie Hwy., Homewood, IL 60430","(708) 798-0121","17917 Dixie Hwy","Homewood","60430",41.5638119,-87.6654147
"Indian Prairie Public Library District","401 Plainfield Rd., Darien, IL 60561","(630) 887-8760","401 Plainfield Rd","Darien","60561",41.75639437,-87.95630714
"Justice Public Library District","7641 Oak Grove Ave., Justice, IL 60458","(708) 496-1790","7641 Oak Grove Ave","Justice","60458",41.75146519,-87.84078114
"La Grange Park Public Library District","555 N La Grange Rd., La Grange Park, IL 60526","(708) 352-0100","555 N La Grange Rd","La Grange Park","60526",41.82436045,-87.87175363
"La Grange Public Library","10 W Cossitt Ave., La Grange, IL 60525","(708) 215-3200","10 W Cossitt Ave","La Grange","60525",41.81236568,-87.86975451
"Lansing Public Library","2750 Indiana Ave., Lansing, IL 60438","(708) 474-2447","2750 Indiana Ave","Lansing","60438",41.56571706,-87.55013996
"Lyons Public Library","4209 Joliet Ave., Lyons, IL 60534","(708) 447-3577","4209 Joliet Ave","Lyons","60534",41.81495,-87.8208
"Markham Public Library","16640 Kedzie Ave., Markham, IL 60428","(708) 331-0130","16640 Kedzie Ave","Markham","60428",41.586541,-87.6945
"Matteson Public Library","801 S School Ave., Matteson, IL 60443","(708) 748-4431","801 S School Ave","Matteson","60443",41.512782,-87.726
"Maywood Public Library District","121 S 5th Ave., Maywood, IL 60153","(708) 343-1847","121 S 5th Ave","Maywood","60153",41.88700343,-87.83916896
"McCook Public Library District","8419 W 50th St., McCook, IL 60525","(708) 442-1242","8419 W 50th St","McCook","60525",41.80034861,-87.8308955
"Melrose Park Public Library","801 Broadway St., Melrose Park, IL 60160","(708) 343-3391","801 Broadway St","Melrose Park","60160",41.89434056,-87.85662069
"Midlothian Public Library","14701 S Kenton Ave., Midlothian, IL 60445","(708) 535-2027","14701 S Kenton Ave","Midlothian","60445",41.6251829,-87.73234518
"Morton Arboretum","4100 Illinois Rt. 53, Lisle, IL 60532","(630) 719-2430","4100 Illinois Rt 53","Lisle","60532",41.81651908,-88.07248631
"Nancy L. McConathy Public Library District","21737 Jeffrey Ave., Sauk Village, IL 60411","(708) 757-4771","21737 Jeffrey Ave","Sauk Village","60411",41.49205813,-87.57404085
"North Riverside Public Library District","2400 S DesPlaines Ave., North Riverside, IL 60546","(708) 447-0869","2400 S DesPlaines Ave","North Riverside","60546",41.8462205,-87.82300337
"Northlake Public Library District","231 N Wolf Rd., Northlake, IL 60164","(708) 562-2301","231 N Wolf Rd","Northlake","60164",41.91114971,-87.9033559
"Oak Lawn Public Library","9427 S Raymond Ave., Oak Lawn, IL 60453","(708) 422-4990","9427 S Raymond Ave","Oak Lawn","60453",41.72040076,-87.75269137
"Oak Park Public Library","834 Lake St., Oak Park, IL 60301","(708) 383-8200","834 Lake St","Oak Park","60301",41.88866,-87.796269
"Palos Heights Public Library","12501 S 71st Ave., Palos Heights, IL 60463","(708) 448-1473","12501 S 71st Ave","Palos Heights","60463",41.66438334,-87.79401647
"Palos Park Public Library","12330 Forest Glenn Blvd., Palos Park, IL 60464","(708) 448-1530","12330 Forest Glenn Blvd","Palos Park","60464",41.66639552,-87.83710706
"Park Forest Public Library","400 Lakewood Blvd., Park Forest, IL 60466","(708) 748-3731","400 Lakewood Blvd","Park Forest","60466",41.48451682,-87.68767882
"Prairie State College","Learning Center 202 S Halsted St., Chicago Heights, IL 60411","(708) 709-3552","Learning Center 202 S Halsted St","Chicago Heights","60411",41.52775835,-87.63579782
"Prairie Trails Public Library District","8449 S Moody Ave., Burbank, IL 60459","(708) 430-3688","8449 S Moody Ave","Burbank","60459",41.73906901,-87.77376443
"Richton Park Public Library District","22310 Latonia Ln., Richton Park, IL 60471","(708) 481-5333","22310 Latonia Ln","Richton Park","60471",41.48401406,-87.7254629
"River Forest Public Library","735 Lathrop Ave., River Forest, IL 60305","(708) 366-5205","735 Lathrop Ave","River Forest","60305",41.89265,-87.8149
"River Grove Public Library District","8638 W Grand Ave., River Grove, IL 60171","(708) 453-4484","8638 W Grand Ave","River Grove","60171",41.92962756,-87.84203004
"Riverdale Public Library District","208 W 144th St., Riverdale, IL 60827","(708) 841-3311","208 W 144th St","Riverdale","60827",41.63345,-87.62749741
"Riverside Public Library","1 Burling Rd., Riverside, IL 60546","(708) 442-6366","1 Burling Rd","Riverside","60546",41.82660943,-87.81916581
"Schiller Park Public Library","4200 Old River Rd., Schiller Park, IL 60176","(847) 678-0433","4200 Old River Rd","Schiller Park","60176",41.9553726816098,-87.8606636313921
"South Holland Public Library","16250 Wausau Ave., South Holland, IL 60473","(708) 331-5262","16250 Wausau Ave","South Holland","60473",41.60029505,-87.61001
"South Suburban College","Learning Resources Center 15800 S State St., South Holland, IL 60473","(708) 210-5751","Learning Resources Center 15800 S State St","South Holland","60473",41.60546707,-87.61707
"Steger-South Chicago Heights Public Library District","54 E 31st St., Steger, IL 60475","(708) 755-5040","54 E 31st St","Steger","60475",41.47523542,-87.63385721
"Stickney-Forest View Public Library District","6800 W 43rd St., Stickney, IL 60402","(708) 749-1050","6800 W 43rd St","Stickney","60402",41.81410765,-87.79270884
"Summit Public Library District","6233 S Archer Rd., Summit, IL 60501","(708) 458-1545","6233 S Archer Rd","Summit","60501",41.7780936,-87.81354844
"Thomas Ford Memorial Library","800 Chestnut St., Western Springs, IL 60558","(708) 246-0520","800 Chestnut St","Western Springs","60558",41.81243431,-87.89913426
"Thornton Public Library","115 E Margaret St., Thornton, IL 60476","(708) 877-2579","115 E Margaret St","Thornton","60476",41.5684,-87.61176
"Tinley Park Public Library","7851 Timber Dr., Tinley Park, IL 60477","(708) 532-0160","7851 Timber Dr","Tinley Park","60477",41.56304187,-87.80990037
"University Park Public Library District","1100 Blackhawk Dr., University Park, IL 60466","(708) 534-2580","1100 Blackhawk Dr","University Park","60466",41.43000387,-87.68037854
"Westchester Public Library","10700 Canterbury St., Westchester, IL 60154","(708) 562-3573","10700 Canterbury St","Westchester","60154",41.85523397,-87.88959395
"Westmont Public Library","428 N Cass, Westmont, IL 60559","(630) 969-5625","428 N Cass","Westmont","60559",41.8062536,-87.97570689
"William Leonard Public Library District","13820 Central Park Ave., Robbins, IL 60472","(708) 597-2760","13820 Central Park Ave","Robbins","60472",41.64173541,-87.70861013
"Woodridge Public Library","3 Plaza Dr., Woodridge, IL 60517","(630) 964-7899","3 Plaza Dr","Woodridge","60517",41.75538464,-88.04440172
"Worth Public Library District","6917 W 111th St., Worth, IL 60482","(708) 448-2855","6917 W 111th St","Worth","60482",41.69010386,-87.79230842
